station_id,station_en,station_zh,subbasin,landscape,year,orbit_period,valid_days_consensus,valid_days_any,valid_eight_day_bins_consensus,paired_sensor_days,median_sensor_difference_c,p95_sensor_difference_c,paired_sensor_diagnostic_available,station_year_sensor_consistent,strict_qc_status,qc_rule,ground_annual_consensus_c,chinatherm30_median_3x3_c,chinatherm30_minus_ground_3x3_c
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2022,2021_2024,63,63,9,63,1.415,1.8930000000000005,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,15.851785714285716,20.33,4.478214285714282
dashalong,Dashalong,大沙龙,upstream,marsh alpine meadow,2023,2021_2024,129,129,19,129,1.665000000000001,2.7969999999999984,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.757799999999996,21.59,-2.167799999999996
daxing,Daxing,Daxing,,,2008,through_2020,58,58,15,58,0.9718379999999982,1.573700600000003,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.33289625,30.45,1.1171037499999985
daxing,Daxing,Daxing,,,2009,through_2020,68,68,19,68,0.6740589999999989,1.8731638250000036,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,31.21498775,30.66,-0.5549877499999987
daxing,Daxing,Daxing,,,2010,through_2020,39,58,14,58,4.17205125,9.734910775,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.841881229166667,31.69,5.848118770833334
desert,Desert,荒漠,downstream,Reaumuria desert,2015,through_2020,135,135,19,135,0.3749999999999982,0.9214999999999997,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,41.846562500000005,46.0,4.1534374999999955
desert,Desert,荒漠,downstream,Reaumuria desert,2016,through_2020,132,132,19,132,0.3524999999999991,0.6940000000000018,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,43.146874999999994,47.67,4.523125000000007
desert,Desert,荒漠,downstream,Reaumuria desert,2017,through_2020,112,112,18,112,0.3325000000000022,1.0107500000000007,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.548791666666666,48.49,3.941208333333336
desert,Desert,荒漠,downstream,Reaumuria desert,2018,through_2020,129,129,19,129,0.875,2.4619999999999966,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,42.44535714285714,45.91,3.464642857142856
desert,Desert,荒漠,downstream,Reaumuria desert,2019,through_2020,129,129,19,129,1.4399999999999975,3.544999999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.478571428571435,48.43,3.951428571428565
desert,Desert,荒漠,downstream,Reaumuria desert,2020,through_2020,131,131,19,131,0.9250000000000008,1.7025000000000006,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,45.20071428571429,48.79,3.589285714285708
desert,Desert,荒漠,downstream,Reaumuria desert,2021,2021_2024,131,131,19,131,0.4599999999999973,1.0099999999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,41.71321428571429,48.52,6.806785714285716
desert,Desert,荒漠,downstream,Reaumuria desert,2022,2021_2024,130,130,19,130,0.4599999999999991,1.146500000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,42.412499999999994,50.17,7.757500000000007
desert,Desert,荒漠,downstream,Reaumuria desert,2023,2021_2024,134,134,19,134,0.6300000000000026,1.96875,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,43.25035714285713,48.92,5.669642857142868
desert,Desert,荒漠,downstream,Reaumuria desert,2024,2021_2024,126,126,19,126,0.4599999999999973,1.5737500000000004,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,40.63958333333333,48.18,7.540416666666672
e_bao,E'bao,峨堡,upstream,alpine meadow,2013,through_2020,107,107,18,107,0.2258899999999997,0.8229411000000009,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,30.758611583333337,23.0,-7.758611583333337
e_bao,E'bao,峨堡,upstream,alpine meadow,2014,through_2020,114,114,19,114,0.755652500000001,1.4101865000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,28.651875416666662,20.85,-7.801875416666661
e_bao,E'bao,峨堡,upstream,alpine meadow,2015,through_2020,93,93,17,93,1.0646999999999984,1.7133999999999994,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,28.93747666666667,20.76,-8.177476666666667
e_bao,E'bao,峨堡,upstream,alpine meadow,2016,through_2020,97,97,16,97,1.0993899999999996,1.9753039999999975,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,31.479879166666667,22.67,-8.809879166666665
guantao,Guantao,Guantao,,,2010,through_2020,46,46,17,46,0.4300000000000001,1.426249999999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,31.388125,28.36,-3.0281249999999993
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2016,through_2020,115,115,19,115,0.5400000000000027,1.013000000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.2475,33.83,-10.417500000000004
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2017,through_2020,111,111,19,111,0.5599999999999987,1.7400000000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,36.4275,31.72,-4.707500000000003
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2018,through_2020,111,111,19,111,0.6600000000000001,0.9799999999999986,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,40.47714285714285,33.81,-6.667142857142849
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2019,through_2020,116,116,19,116,1.715,2.851250000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,42.18083333333333,32.32,-9.860833333333332
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2020,through_2020,94,94,17,94,0.4925000000000015,1.1367499999999984,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.0805,32.27,-11.810499999999998
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2021,2021_2024,78,78,13,78,0.2674999999999983,0.965250000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,47.483124999999994,33.34,-14.14312499999999
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2022,2021_2024,116,116,19,116,0.6625000000000014,1.2362499999999983,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,44.368125,32.78,-11.588124999999998
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2023,2021_2024,122,122,19,122,1.0474999999999994,3.0105,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,35.928333333333335,32.7,-3.2283333333333317
heihe_remote_sensing,Heihe Remote Sensing,黑河遥感,midstream,grassland,2024,2021_2024,118,118,19,118,0.6550000000000011,0.9915000000000014,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,45.18857142857143,31.96,-13.228571428571428
